elapsed_s,ram_mb,cum_cpu_s,threads,handles
10,37,1.16,30,368
20,37,1.36,28,367
30,37,1.52,28,367
40,37,1.67,28,367
50,37,1.95,27,368
60,37,2.09,27,368
70,37,2.34,27,368
80,37,2.55,27,368
90,38,2.88,27,386
100,38,3.05,27,386
110,38,3.2,27,386
120,38,3.48,26,384
130,38,3.67,26,384
140,38,3.81,26,384
150,38,4.05,26,384
160,38,4.3,26,384
170,38,4.61,26,384
180,38,4.88,26,384
190,38,5.06,25,382
200,38,5.31,25,382
210,38,5.48,25,382
220,38,5.66,25,382
230,38,5.84,25,382
240,38,6.14,25,382
250,38,6.28,25,382
261,38,6.52,25,382
271,38,6.7,27,383
281,38,6.95,27,383
291,38,7.14,29,383
301,38,7.27,29,383
311,38,7.39,29,383
321,38,7.48,29,383
331,38,7.8,29,383
341,38,7.97,29,383
351,38,8.09,29,389
361,38,8.17,29,389
371,38,8.2,29,389
381,38,8.44,29,388
391,38,8.62,27,388
401,38,8.7,27,388
411,38,8.88,27,388
421,38,9.16,27,388
431,38,9.34,27,388
441,38,9.5,27,388
451,38,9.66,27,388
461,38,9.91,25,382
471,38,10.12,25,382
481,38,10.38,25,382
491,38,10.53,25,382
501,38,10.69,25,382
511,38,10.91,25,382
521,38,11.06,25,382
531,38,11.31,27,383
541,38,11.52,27,383
551,38,11.67,27,383
561,38,11.95,27,383
571,38,12.23,27,383
581,38,12.41,27,383
591,38,12.61,29,383
601,38,12.86,29,383
611,38,13.03,29,383
sampling-complete
